id,courses_title,degree_field,exp_duration,url,skills,skill_1,skill_2,skill_3,cert_titles,exp_group
qingjin-du-9a9a1b11,[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Electronics']",197,https://www.linkedin.com/in/qingjin-du-9a9a1b11,"['FPGA', 'Programming Paradigms', 'Java']",fpga design,gui programming,java migration,[],1
kevin-liu-508ab16a,"['artificial intelligence', 'computer architecture', 'computer security', 'data structures', 'database systems', 'des info devices sys', 'des info devices sys', 'discrete mathematics/probability theory', 'efficient algorithms intractable problems', 'linear algebra differential equations', 'machine learning', 'machine learning decal', 'operating systems systems programming', 'physics engineers: heat', 'electricity', 'magnetism', 'probability random processes', 'structure interpretation computer programs']",['Electrical and Computer Engineering'],42,https://www.linkedin.com/in/kevinliu743,"['Data', 'Database', 'Machine']",data manipulation,database management,machine learning,[],0
deepakmodi77,[''],['Engineering and Applied Sciences'],36,https://www.linkedin.com/in/deepakmodi77,"['Test', 'design', 'Test', 'quality']",test case design,test automation,software quality assurance,"['Learning Cloud Computing: Core Concepts', 'Learning Program Management', 'Managing Resources Across Project Teams', 'Software Architecture Foundations', 'Scrum Master Certified (SMC)']",0
niranjanaprasannakumar,"['analog digital filters', 'digital communication systems', 'digital signal processing', 'error control coding', 'linear algebra numerical analysis', 'modern coding theory', 'probability foundations electrical engineers', 'quantum computation quantum information theory', 'analysis societal networks', 'communication networks', 'computer architecture', 'digital communication codes', 'estimation', 'filtering detection', 'information theory', 'matrix methods signal processing', 'probability random processes', 'communication systems']","['Communications and Electronics Engineering', 'Communications and Electronics Engineering']",56,https://www.linkedin.com/in/niranjanaprasannakumar,"['GUI', 'Data Analytics Suite', 'Cypress']",gui creation,data analysis,cypress testing,['Fundamentals of System C Online'],0
kargapp,[''],['Engineering and Sciences'],18,https://www.linkedin.com/in/kargapp,"['API', 'NLP', 'Cloud', 'Management']",api development,nlp modeling,cloud data management,"['Oracle Certified Professional: MySQL 8.0 Database Administrator (1Z0-908)', 'Oracle Certified Associate: Oracle Cloud Infrastructure Architect (1Z0-1072-22)']",0
robert-ford-226433129,[''],['Mechanical Engineering and Related Fields'],111,https://www.linkedin.com/in/robert-h-ford,"['Public', 'principles', 'Software', 'techniques']",public speaking,agile principles,software testing techniques,[],1
isha-gaut,[''],"['Industrial Engineering Cluster', 'Engineering and Applied Sciences']",48,https://www.linkedin.com/in/isha-gaut,"['Quality', 'optimization', 'Communication']",quality assurance,process optimization,communication improvement,"['FE Industrial and System', 'Six Sigma Green Belt Certificate']",0
austin-yarbery-22647b173,[''],[],84,https://www.linkedin.com/in/austin-yarbery-22647b173,"['Data', 'Analysis', 'Data']",data management,data analysis,data visualization,[],0
william-layne-haole-a49287180,[''],['Computing and Information Technologies'],99,https://www.linkedin.com/in/william-layne-haole-a49287180,"['Network', 'Troubleshooting']",network design,troubleshooting,configuration,[],0
ray-bartlett-8a76299,[''],[],299,https://www.linkedin.com/in/ray-bartlett-leader-engineer-advisor,"['Windows', 'Management', 'Hybrid', 'Infrastructure', 'DHCP', 'DNS']",windows server management,hybrid networking infrastructure,dhcp and dns configuration,"['Delivering an Authentic Elevator Pitch', 'MCPS: Microsoft Certified Professional']",2
chennavenkatesh,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",166,https://www.linkedin.com/in/chennavenkatesh,"['Predictive', 'data', 'learning']",predictive analysis,big data architecture,machine learning engineering,[],1
yang-yang-v2,[''],"['Information Technology', 'Computer Science and Engineering']",81,https://www.linkedin.com/in/yang-yang-v2,"['Search', 'optimization', 'Big', 'Data Analytics Suite', 'Data']",search engine optimization,big data analysis,data management,"['Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization', 'Structuring Machine Learning Projects', 'Machine Learning Specialization', 'Neural Networks and Deep Learning', 'Machine Learning', 'Oracle Certified Professional, Java SE 8 Programmer', 'Oracle Certified Associate, Java SE 8 Programmer']",0
siyi-wang-027180151,[''],"['Electrical and Computer Engineering', 'Electrical Engineering and Electronics']",51,https://www.linkedin.com/in/siyi-wang-027180151,"['Recommender', 'Design', 'gRPC', 'Design']",recommender system design,grpc implementation,network design,[],0
damian-n-27422a238,[''],[],0,https://www.linkedin.com/in/damian-n-27422a238,"['critical', 'management', 'Communication and Interpersonal Skills']",critical thinking,time management,communication,[],0
christophe-dupuy-758b793b,"['high-dimensional statistics (a. dalalyan)', 'introduction machine learning (n.vayatis)', 'kernel methods (j-p. vert)', 'mcmc methods applications (s.allassonnière/e.moulines)', 'machine learning computer vision (i.kokkinos)', 'optimization (a. d’aspremont)', 'probabilistic graphical models (f.bach/g.obozinsky)', 'reinforcement learning (r. munos)']","['Machine Learning and Computer Vision', 'Languages and Literature', 'Mathématiques et physique']",61,https://www.linkedin.com/in/christophe-dupuy-758b793b,"['Data', 'Building', 'Machine', 'Algorithms']",data analysis,model building,machine learning algorithms,[],0
jongkwang-park-09334a133,[''],"['Mechanical Engineering and Related Fields', 'Mechanical Engineering and Related Fields']",65,https://www.linkedin.com/in/jongkwang-park,"['Wavelet', 'language', 'vision']",wavelet analysis,natural language processing,computer vision,"['Crash Course on Python', 'Neural Networks and Deep Learning', 'Machine Learning']",0
ye-nan,[''],"['Computer Science and Engineering', 'Mechanical Engineering and Related Fields', 'Mechatronics and Automation Engineering']",53,https://www.linkedin.com/in/ye-nan,"['Python', 'data', 'SQL']",python programming,pandas data manipulation,spark sql querying,"['AWS Academy Cloud Architecting', 'ServiceNow + Accenture Student Hackathon', 'Machine Learning', 'Neural Networks and Deep Learning']",0
ruihua-ding,[''],"['Electrical Engineering and Related Disciplines', 'Electrical Engineering and Related Disciplines', 'Electrical Engineering and Related Disciplines']",245,https://www.linkedin.com/in/ruihua-ding,"['Create', 'applications', 'Design', 'printed', 'Teradata']",create web applications,design 3d printed products,use teradata vantage,[],1
danxu2,[''],['Computer Science and Engineering'],0,https://www.linkedin.com/in/danxu2,"['SAP', 'knowledge', 'SAP', 'Platform', 'BI/BW']",sap fiori knowledge,sap cloud platform knowledge,sap bi/bw knowledge,[],0
pinnakavamsi,[''],['Communications and Electronics Engineering'],172,https://www.linkedin.com/in/pinnakavamsi,"['Network', 'Management']",network configuration,troubleshooting,security management,"['Cisco certified interviewer Specialist', 'Cisco Certified Design Associate', 'Cisco Certified Internetwork Expert Security (CCIE Security)', 'Cisco Certified Network Professional', 'Cisco Certified Network Associate']",1
bo-lyu,"['algorithms data structures', 'applied machine learning', 'artificial intelligence', 'big data analytics', 'data structures algorithms', 'distributed systems', 'java/python programming', 'probability mathematical statistics']","['Data Science and Analytics', 'Computing and Information Technologies', 'Civil and Architectural Engineering']",48,https://www.linkedin.com/in/bo-lyu,"['Brainstorming', 'Idea', 'solving', 'Artificial', 'learning', 'Ethics', 'Agile']",brainstorming,idea generation,problem solving,[],0
xiajiadai,[''],"['Engineering and Applied Sciences', 'Computational Mathematics and Engineering']",36,https://www.linkedin.com/in/xiajiadai,"['Data', 'Model', 'Error']",data manipulation,model building,error avoidance,[],0
obed-kiakebo-4aa765222,[''],"['Computer Science and Engineering', 'General and Interdisciplinary Studies']",28,https://www.linkedin.com/in/obed-kiakebo-4aa765222,"['Algorithm', 'Effective', 'Web']",algorithm design,effective collaboration,web development,[],0
marcus-price,[''],['Web Development and Design'],86,https://www.linkedin.com/in/marcus-price,"['JavaScript', 'management', 'React', 'creation']",javascript development,mongodb management,react application creation,[],0
ianbenz,[''],['Electrical and Computer Engineering'],114,https://www.linkedin.com/in/ianbenz,"['Device', 'Debugging', 'Threat']",device management,debugging techniques,threat analysis,[],1
bereket-bekele-739426161,[''],"['Civil and Architectural Engineering', 'Computing and Information Technologies']",71,https://www.linkedin.com/in/bereket-bekele,"['GUI', 'Webdriver', 'ISTQB']",gui automation,selenium webdriver,istqb certification,"['BUS 101: Business Writing I', 'BUS 103: Career Development and Interpersonal Relations', 'BUS 202: Project Management I', 'CIS 101: Introduction to Computer Applications', 'CIS 301: Software Testing and Quality Assurance', 'CIS 303: Scripting Languages', 'COM 150: Public Speaking', 'Agile Testing', 'Microsoft Excel 2016 certefication', 'Microsoft Office Specialist: Excel 2016', 'Course by Course Evaluation']",0
ebenezer-oladele-1351a7106,"['business economics', 'dynamics complex networks systems', 'engineering systems: modeling simulation', 'financial engineering', 'linear systems', 'software maintenance', 'evolution re-engineering', 'software testing', 'validation verification', 'strategic leadership', 'systems engineering', 'architecture design', 'systems project management', 'systems reliability', 'technology new product development', 'entrepreneurial experience', 'design electrical ict services', 'laboratory services design', 'reliability maintainability it systems']","['Computer Science and Related', 'Electrical Engineering and Electronics']",30,https://www.linkedin.com/in/ebenezer-oladele-1351a7106,"['Network', 'Network', 'Network']",network design,network implementation,network troubleshooting,"['Support Services Engineer Green Belt', 'Cisco Certified Network Professional Routing and Switching (CCNP Routing and Switching)', 'Cisco Certified Network Associate Routing and Switching (CCNA Routing and Switching)', 'Masters in Systems Engineering']",0
erika-strandberg-726a7a6,"['analysis costs', 'risks benefits health care', 'consulting workshop', 'data driven medicine', 'design analysis algorithms', 'healthcare regulation', 'finance policy', 'introduction biomedical informatics research methodology', 'mathematical models medical decisions', 'probabilistic graphical models: principles techniques', 'representations algorithms computational molecular biology', 'translational bioinformatics', 'applied statistics', 'bootstrap', 'mathstorm consulting group', 'mathematical statistics', 'multivariate analysis', 'numerical linear algebra', 'numerical optimization', 'statistical learning']","['Biomedical Engineering Cluster', 'Statistical Sciences', 'Bio-STEM Sciences']",199,https://www.linkedin.com/in/erika-strandberg-726a7a6,"['Data', 'learning', 'Model']",data analysis,machine learning,model deployment,[],1
ganeshsanjayshete,[''],"['Industrial Engineering Cluster', 'Mechanical Engineering and Related Fields']",86,https://www.linkedin.com/in/ganeshsanjayshete,['Data'],data analysis,communication,procurement,"['Master of Science', 'Programming Foundations: Databases', 'Data Fluency: Exploring and Describing Data', 'Excel Statistics Essential Training: 1', 'Learning Data Visualization', 'Learning Excel: Data Analysis', 'Power BI Essential Training', 'Customer Service Leadership', 'Learning Data Analytics', 'Learning Program Management', 'Logistics Foundations (2015)', 'Lean Six Sigma Green Belt Certification', 'Lean Six Sigma Yellow Belt']",0
richkubec,[''],['Natural and Applied Sciences'],457,https://www.linkedin.com/in/richkubec,"['Mixing', 'scales', 'Music']",mixing techniques,guitar scales,music notation,[],2
jacobthomas98,[''],['Computer Science and Engineering'],34,https://www.linkedin.com/in/jacobthomas98,"['Microservice', 'Full-stack', 'Cloud', 'management']",microservice deployment,full-stack development,cloud database management,[],0
grishma-chole,[''],"['Computer Science and Engineering', 'Electronics and Computer Systems']",134,https://www.linkedin.com/in/grishma-chole,"['Java', 'development', 'Enterprise', 'development', 'Servlets']",java web development,enterprise java development,servlets,[],1
zhuyun-chen-276572130,[''],"['Computer Science and Engineering', 'Cognitive and Computational Psychology']",24,https://www.linkedin.com/in/zhuyunchen,"['Model', 'AI', 'Recommendation', 'Design']",model development,ai fundamentals,recommendation engine design,[],0
judesurin,[''],"['Internet of Things Engineering', 'General and Interdisciplinary Studies', 'Computer Science and Engineering']",33,https://www.linkedin.com/in/judesurin,"['AI', 'Pandas', 'Excel']",ai fundamentals,pandas analysis,excel statistics,"['RPA Associates', 'AWS Academy Graduate - AWS Academy Cloud Foundations', 'FOUNDATIONS OF LEADERSHIP CERTIFICATE 2', 'FOUNDATIONS OF LEADERSHIP CERTIFICATE 1', 'AWS Certified Cloud Practitioner']",0
nicholas-kanuho-6b1a64109,[''],[],33,https://www.linkedin.com/in/nicholas-kanuho-6b1a64109,"['Data', 'Data Analytics Suite', 'Data']",data visualization,data analysis,data storytelling,[],0
gcamargo,"['security field engineers', 'bgp – arquitetura de roteamento internet', 'building scalable cisco networks', 'cisco secure pix firewall', 'cisco secure virtual private network', 'designing cisco network service architecture', 'distributed denial service', 'implementing cisco nac appliance', 'implementing cisco security monitoring', 'analysis response system', 'implementing cisco storage networking solutions', 'implementing secure converged wide area networks', 'implementing application control engine service module', 'installing maintaining cisco routers', 'interconnecting cisco network devices', 'managing cisco network security', 'managing cisco router internetworks', 'qualidade de serviço sobre ip', 'redes wireless', 'securing networks with asa', 'securing networks with pix asa', 'security solutions systems engineers', 'sonicwall', 'steelhead appliance deployment management', 'tcp/ip avançado', 'tcp/ip básico', 'troubleshooting maintaining cisco ip networks', 'wide area application services', 'agile safe', 'cissp bootcamp', 'certified cloud security professional (bootcamp)', 'cisco business acumen', 'cisco consultant development program fondation 2 (cdp-f cdp-2)', 'cisco stealthweatch administration', 'connecting with others', 'designing implementing cisco network programmability (npdesi)', 'ise design deployment', 'itilv4 foundation', 'implementing cisco wireless networks (iwnfu)', 'programming network engineers (prne)', 'rsa conference 2015', '2016', '2018', '2019 2020', 'security virtual team training 2015/october (sevt)', 'trustsec', 'gestão de pessoas em processos de mudança', 'inovar para evoluir: gestão de inovação para altos executivos', 'interop 2014', 'sonicwall: network security basic administrator']","['Computing and Information Technologies', 'Technical and Applied Sciences']",67,https://www.linkedin.com/in/gcamargo,"['VPN', 'Fundamentals', 'OSPF']",vpn configuration,switching fundamentals,ospf routing,"['AWS Partner: Accreditation (Technical)', 'Implementing and Operating Cisco Security Core Technologies', 'Implementing and Configuring Cisco Identity Services Engine', 'ONEx Agile Fundamentals +', 'ONEx Agile Fundamentals', 'ONEx Manager Green Belt', 'BCS 3.0 Delivery Enablement', 'CX Baseline Training', 'ITIL 4 ® LEADER Digital and IT Strategy CPD', 'ITIL 4 ® STRATEGIC LEADER CPD', 'ITIL 4 ® STRATEGIST Direct, Plan and Improve CPD', 'ITIL Foundation Level', 'Connecting with Others', 'VMware Technical Sales Professional 5.5', 'Dell Enterprise Masters', 'Network Security Basic Administrator', 'Certified SonicWall Sales Representative', 'Juniper Networks Sales Specialist Enterprise Switch', 'Cisco Data Center Application Services Design Specialist', 'Cisco Data Center Networking Infrastructure Design Specialist', 'Wide Area Application Services for System Engineers', 'Cisco ASA Specialist', 'Cisco Certified Design Professional (CCDP)', 'Cisco Certified Network Professional Security (CCNP-S)', 'Cisco Network Admission Control Specialist', 'Data Center Storage Networking Support Specialist', 'Cisco Certified Network Associate Security', 'Cisco IPS Specialist', 'Certified Ethical Hacker', 'Cisco Express Foundation Design Specialist', 'Cisco Security Solutions and Design Specialist', 'Cisco Advanced Security Field Specialist', 'INFOSEC', 'Cisco Certified Security Professional (CCSP)', 'Cisco Security Specialist 1 (CSS1)', 'Cisco Certified Network Associate (CCNA)', 'Cisco Certified System Instructor (CCSI)', 'Cisco Certified Internetwork Expert - Security (CCIE#18202)', 'Certified Information Systems Security Professional (CISSP)', 'Certified Information Systems Security Professional (CISSP)']",0
bradley-pirie-449394156,[''],"['Computational Mathematics and Engineering', '']",158,https://www.linkedin.com/in/bradleypirie,"['Cloud-native', 'development', 'Cybersecurity', 'and', 'Cybersecurity']",cloud-native app development,cybersecurity fundamentals,cryptography and network security,['.NET MAUI for Beginners'],1
rishabh-singh-4a30aba2,"['computer architectures', 'c#', 'computer networks', 'data structures c/c++', 'design analysis algorithms', 'formal language automata theory', 'information network security', 'java', 'microprocessors', 'operating systems', 'rdbms', 'shell programming', 'unix system programming', 'web programming', 'cloud computing security', 'computer forensic', 'cybersecurity risk management', 'ethical hacking', 'network security', 'security privacy computing', 'software vulnerability analysis']","['Computer Science and Information Systems', 'Computer Science and Engineering', 'Natural and Applied Sciences']",68,https://www.linkedin.com/in/rishabh-singh-4a30aba2,"['Risk', 'Management', 'Incident']",risk assessment,vulnerability management,incident response,"['ccna security', 'cisco certified network associate R&S']",0
wlperdue,[''],[],148,https://www.linkedin.com/in/wlperdue,"['Linux', 'administration', 'Ruby', 'Rails', 'development', 'Cloud', 'Automation Engineering']",linux system administration,ruby on rails web development,cloud infrastructure automation,"['Sophos Certified Engineer', 'Aruba Certified Mobility Associate (ACMA)', 'Heartbleed Tactics for Small IT Shops', 'IT Security Fundamentals', 'Ruby on Rails 4 Essential Training', 'Swift Essential Training', 'Ruby Essential Training', 'DevOps Essentials']",1
helen-slattery-0a4926,[''],"['Computer Science and Engineering', 'Languages and Literature']",152,https://www.linkedin.com/in/helen-m-slattery,"['Technical', 'design', 'Scrum']",technical writing,instructional design,scrum methodology,['ISO 9000'],1
gilbert-frausto,[''],[],182,https://www.linkedin.com/in/gilbert-frausto,"['Full-Stack', 'Java', 'Web']",full-stack development,java development,web development,[],1
jeffrey-liu-10062a8,[''],"['Statistical Sciences', 'Electrical Engineering and Related Disciplines']",180,https://www.linkedin.com/in/jeffrey-liu-10062a8,"['Text', 'Data Visualization and Analysis', 'Machine']",text analysis,data visualization,machine learning,[],1
hao-zheng-ab057321,[''],"['Mechanical Engineering and Related Fields', 'Mechanical Engineering and Related Fields']",210,https://www.linkedin.com/in/hao-zheng-ab057321,"['CAD', 'Parametric', 'Simulation']",cad modeling,parametric design,simulation analysis,[],1
illia-silin-2a33b37a,[''],"['Physical Sciences and Engineering', 'Physical Sciences and Engineering']",217,https://www.linkedin.com/in/illia-silin-2a33b37a,"['Async', 'Debugging and Troubleshooting', 'Tokio', 'Programming Paradigms']",async programming,c debugging,tokio async programming,[],1
jorge-ortega-sde,[''],['Electrical and Computer Engineering'],147,https://www.linkedin.com/in/jorge-ortega-sde,"['Functional', 'Array', 'Data']",functional programming,array manipulation,data structures,[],1
sai-ajitesh-krovvidi-34359a214,[''],[],21,https://www.linkedin.com/in/saiajitesh,"['API', 'Full-stack', 'development']",containerization,restful api development,full-stack web development,"['Learning Spring with Spring Boot', 'Node.js Essential Training', 'React.js Essential Training', 'AWS Essential Training for Developers', 'Applied Machine Learning: Foundations', 'DevOps Foundations', 'Learning Docker', 'Learning Kubernetes', 'Salesforce Essential Training', 'Git Essential Training: The Basics', 'JavaScript Essential Training']",0
maleeha-naqvi-aba9b044,[''],[],15,https://www.linkedin.com/in/maleeha-naqvi,"['IoT', 'Data Analytics Suite', 'DAST', 'certification']",iot security analysis,dast execution,sscp certification,['Certified ScrumMaster (CSM)'],0
shantanu-pandey-1b1a77111,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",10,https://www.linkedin.com/in/shantanu-pandey-1b1a77111,"['Module', 'development', 'Redux']",module bundling,full-stack development,redux architecture,"['Advance Front-End Web Development with React - Full Stack Completion Certificate', 'Back End | Full Stack Web Development in Node.js Completion Certificate', 'Front End | Full Stack Web Development Excellence Certificate', 'Data Structures & Algorithms in Python Excellence Certificate', 'Introduction to Python Excellence Certificate']",0
qiu-zhao-54b53a28,[''],"['Natural and Applied Sciences', 'Physical Sciences and Engineering']",100,https://www.linkedin.com/in/qiu-zhao-54b53a28,"['Cloud', 'instrument', 'syndrome']",cloud computing,virtual instrument creation,imposter syndrome management,[],1
mahesh-kumar-siricilla-b624b411b,[''],['Computer Science and Engineering'],44,https://www.linkedin.com/in/maheshkumar-siricilla,"['Java', 'Programming Paradigms', 'ASP.NET']",java deployment,.net programming,asp.net fundamentals,[],0
zhiwei-cui-a8713971,[''],"['Mechanical Engineering and Related Fields', 'Mechanical Engineering and Related Fields', 'Mechanical Engineering and Related Fields']",119,https://www.linkedin.com/in/zhiwei-cui,"['Code', 'learning', 'Simulation']",code analysis,machine learning,simulation,"['Black Belt in Design for Six Sigma', 'Green Belt in Design for Six Sigma']",1
akshay-yembarwar,"['computer network', 'computer organization architecture', 'data structures', 'integrated circuits applications', 'microcontrollers applications', 'solid state devices circuits', 'system programming operating system', 'vlsi design technology', 'data communication mobile programming', 'embedded operating systems', 'microcontrollers interfacing', 'programming concepts', 'real-time operating systems', 'adv topics- digital sys design', 'adv. engineering mathematics', 'analog electronics', 'design &test multi-core chips', 'design computer systems', 'design digital systems', 'digital systems', 'multiple processor systems']","['Embedded Systems Engineering', 'Embedded Systems Engineering', 'Information and Telecommunication Technologies']",82,https://www.linkedin.com/in/akshay-yembarwar,"['Cloud', 'Modeling', 'Data']",cloud computing,3d modeling,data analysis,[],0
mnichols42,[''],[],0,https://www.linkedin.com/in/mnichols42,"['Cloud', 'navigation', 'Array']",cloud computing,ide navigation,array manipulation,[],0
edward-grystar-616b9579,[''],['Computer Science and Engineering'],8,https://www.linkedin.com/in/edward-grystar-616b9579,"['gRPC', 'development', 'jQuery', 'manipulation', 'Java', 'and']",grpc client-server development,jquery dom manipulation,java concurrency and parallelism,[],0
karthikpullela,"['distributed systems', 'networking', 'programming languages', 'algorithms', 'artificial intelligence', 'automata formal languages', 'blockchain', 'digital systems', 'distributed parallel processing', 'electronic circuits', 'machine learning', 'operating systems', 'systems signals']",['Electrical and Computer Engineering'],99,https://www.linkedin.com/in/karthikpullela,"['Image', 'AI', 'Culture']",image recognition,ai leadership,culture building,[],0
sara-kerestman-74021a117,[''],['Engineering and Applied Sciences'],89,https://www.linkedin.com/in/sara-kerestman,"['Process', 'Data', 'Problem']",process improvement,data analysis,problem solving,[],0
jennmagder,[''],['Computer Science and Engineering'],190,https://www.linkedin.com/in/jennmagder,"['App', 'Testing', 'Ruby']",app development,software testing,ruby installation,[],1
ashutosh-chandra1693,"['data knowledge base', 'pattern recognition machine learning']","['Computer Science and Engineering', 'Information Technology']",82,https://www.linkedin.com/in/ashutosh-chandra1693,"['Python', 'Extraction', 'Data']",python development,data extraction,data transformation,"['Machine Learning', 'Data Structures', 'Algorithmic Toolbox']",0
mehmoodkashif,"['decision models', 'financial accounting', 'foundations strategy', 'global finance management', 'innovation based ventures', 'leadership', 'ethics', 'organization', 'managerial accounting', 'managerial economics', 'managerial statistics', 'market intelligence', 'marketing management', 'marketing strategy / pricing tactics', 'new venture management', 'operations management']","['Marketing and Business', 'Biomedical Engineering Cluster', 'Electrical Engineering and Related Disciplines', 'Electrical Engineering and Related Disciplines']",142,https://www.linkedin.com/in/mehmoodkashif,"['BGP', 'and', 'Ruby on Rails Development', 'Cisco', 'Communications', 'Configuration Management']",bgp configuration,rip and eigrp routing,cisco unified communications manager configuration,['CCIE'],1
lamell-nailing-b2315a134,[''],[],177,https://www.linkedin.com/in/lamell-nailing,"['Linux', 'Automation', 'System']",linux administration,ansible automation,system management,"['Amazon Web Services (AWS) Cloud Certificate', 'Linux Training Certificate', 'Security+ SY0-501 Certificate', 'Engineer Licenses (Fourth Grade & Dc3RD), Maryland & Washington DC', 'Universal Chlorofluorocarbon (CFC) Certification, Heating & Air Conditioning']",1
rishabh-gajra-63b41810a,"['algorithms', 'operating system', 'applied distributed system', 'cloud computing', 'elements artificial intelligence', 'mobile pervasive design', 'sql nosql', 'software engineering', 'machine learning']","['Computer Science and Engineering', 'Electrical and Computer Engineering']",44,https://www.linkedin.com/in/rishabh-gajra,"['Web', 'design', 'Cloud']",web development,api design,cloud computing,['Full Stack Web Developer Nano-degree'],0
jienan-tang-8814b2125,[''],['Computer Science and Engineering'],24,https://www.linkedin.com/in/jienan-tang,"['Code', 'app', 'pattern']",code optimization,ios app development,design pattern implementation,[],0
ayesha-s-9240561a,[''],"['Electrical Engineering and Related Disciplines', 'Power Engineering', 'Honors and Distinction Programs']",40,https://www.linkedin.com/in/ayesha-s-9240561a,"['FPGA', 'Regex', 'design']",fpga design,regex pattern matching,pcb design,[],0
alex-tuteur-03a74322,[''],['Computer Science and Engineering'],174,https://www.linkedin.com/in/alex-tuteur,"['Data', 'Performance', 'Automation']",data integration,web performance optimization,test automation,[],1
saravrajavelu,"['algorithm design analysis', 'applied probability statistics', 'business economics', 'computer architecture organization', 'computer networks', 'data structures algorithms', 'data warehousing data mining', 'database systems', 'digital logic', 'embedded systems', 'graph theory', 'internet web programming', 'linear algebra', 'microprocessor interfacting', 'numerical analysis', 'object oriented paradigm', 'operating systems', 'operations research', 'software engineering', 'theory computation', 'algorithms']","['Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering']",20,https://www.linkedin.com/in/saravrajavelu,"['Neural', 'Training', 'Tree', 'Structures', 'Algorithm']",neural network training,tree data structures,algorithm implementation,"['Data Science in Python', 'R Programming']",0
johncar,[''],"['Computer Science and Engineering', 'Computer Science and Engineering']",195,https://www.linkedin.com/in/johncar,"['.NET', 'Programming Paradigms', 'Web', 'development']",.net development,c# programming,web application development,"['Microsoft Certified: DevOps Engineer Expert', 'Microsoft Certified: DevOps Engineer Expert', 'Microsoft Certified: Azure Developer Associate']",1
natelyle,[''],[],17,https://www.linkedin.com/in/natelyle,"['Data', 'warehousing', 'Data']",data analysis,data warehousing,data integration,[],0
davy-ting-chung-cheng-2989ab29,"['algorithms', 'artificial intelligence', 'data structrues', 'networking', 'operating system', 'programming languages compilers']",['Computer Science and Engineering'],156,https://www.linkedin.com/in/davy-ting-chung-cheng-2989ab29,"['Refactoring', 'Software Testing and Quality Assurance', 'Tomcat']",refactoring techniques,rspec testing,tomcat configuration,[],1
qinlan-shen-08335572,[''],"['Information and Communication Technologies (ICT)', 'Computer Science and Engineering']",126,https://www.linkedin.com/in/qinlan-shen-08335572,"['Machine', 'Data Analytics Suite', 'processing', 'TensorFlow']",machine learning modeling,data analysis with r,image processing with tensorflow,[],1
khyati-agrawal-a35a7412b,[''],"['Academic Excellence and Engineering Distinction', 'Science (PCM)']",78,https://www.linkedin.com/in/khyati-agrawal-a35a7412b,"['Mobile', 'development', 'Front-end', 'development']",mobile app development,front-end development,back-end development,"['Finance', 'Statistics and Machine Learning', 'Terminal Live 2019 - 2020', 'Senior Diploma in Indian Classical Dance (Kathak)']",0
geetha-krishna-8a482152,"['analysis vehicle systems', 'autobody structures', 'design optimization', 'discrete design optimization', 'fatigue structures', 'finite element method', 'numerical analysis', 'statistical quality control', 'theory elasticity']","['Advanced Manufacturing and Engineering', 'Mechanical Engineering and Related Fields', '']",104,https://www.linkedin.com/in/geetha-krishna-8a482152,"['Finite', 'Data Analytics Suite', 'Composite', 'optimization']",finite element analysis,composite design,simulation optimization,[],1
tanner-johnson-82267794,[''],[],58,https://www.linkedin.com/in/tanner-johnson-82267794,"['Threat', 'Management', 'Network']",threat detection,patch management,network configuration,"['100 Courses and Counting: David Rivers on Elearning', 'Web Video: Develop Your Video Presence', 'Gamification of Learning', 'Instructional Design: Storyboarding', 'Instructional Design: Adult Learners', 'Instructional Design: Creating Video Training', 'Instructional Design: Needs Analysis', 'Instructional Design: Models of ID (2014)', 'Learning REST APIs', 'Adobe Commerce Business Practitioner Professional (AD0-E712)']",0
tinle1,[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Related Disciplines']",124,https://www.linkedin.com/in/tinle1,"['Data', 'Statistical', 'Process']",data manipulation,statistical analysis,process improvement,[],1
emma-zhou-a98084158,[''],['Quantitative Economics and Mathematics'],59,https://www.linkedin.com/in/emma-zhou-a98084158,"['gRPC', 'Quarkus', 'Java']",grpc development,quarkus development,java algorithms,[],0
priyanka-banerjee-711732176,[''],"['Computer Science and Engineering', 'Statistical Sciences']",115,https://www.linkedin.com/in/priyanka-banerjee-711732176,"['Data', 'learning', 'Data']",data analysis,machine learning,data visualization,['Create and Manage Cloud Resources'],1
shakshiaggrawal,[''],['Computer Science and Engineering'],0,https://www.linkedin.com/in/shakshiaggrawal,"['Cloud', 'computing', 'Data']",cloud architecture,serverless computing,data analytics,[],0
haydenmontoya,[''],"['Marketing and Business', 'Financial Management and Analysis']",109,https://www.linkedin.com/in/haydenmontoya,"['Sales', 'strategy', 'Marketing']",sales negotiation,sales strategy,marketing analytics,"['Oracle Next Generation Contact Center Compliance', 'Inbound Marketing Certified']",1
pavan-kumar-manne-a33391194,[''],"['Electrical Engineering and Electronics', 'Electrical Engineering and Electronics']",114,https://www.linkedin.com/in/pavan-kumar-manne-a33391194,"['Network', 'protocols', 'Network']",network configuration,routing protocols,network troubleshooting,[],1
